,ID,RA,Dec,Ebv,Gal_Long,Gal_Lat,Ecl_Long,Ecl_Lat,Entry
27222,27223,108.0,-19.0,1.0,232.15587,-4.18956,112.79388,-41.02512,27222
10198,10199,79.87138,30.0,1.0,176.00331,-4.18733,81.18153,6.87067,10198
15363,15364,295.67723,15.0,1.0,52.13575,-4.16905,301.02275,35.7154,15363
4905,4906,330.38961,50.0,1.0,97.13629,-4.1677,1.36392,56.01794,4905
24792,24793,104.31818,-12.0,1.0,224.28844,-4.16584,107.09598,-34.59336,24792
3637,3638,41.94175,55.0,1.0,139.16426,-4.16314,57.80822,36.80523,3637
6122,6123,321.73228,45.0,1.0,89.42998,-4.15908,347.74706,55.38652,6122
3234,3235,33.06122,57.0,1.0,133.80153,-4.15662,53.02647,40.64079,3234
3408,3409,352.65306,57.0,1.0,112.0599,-4.15584,26.53548,52.86505,3408
23907,23908,282.92958,-9.0,1.0,24.9397,-4.15225,283.15086,13.85078,23907
28899,28900,110.85366,-24.0,1.0,237.83142,-4.15145,117.63046,-45.45841,28899
6640,6641,318.93536,43.0,1.0,86.586,-4.14633,342.90793,54.77258,6640
14818,14819,89.47977,16.0,1.0,192.58816,-4.14507,89.50141,-7.43851,14818
4059,4060,48.33333,53.0,1.0,143.42912,-4.13024,61.28502,33.63734,4059
10706,10707,304.96815,29.0,1.0,68.59958,-4.12297,317.15866,46.88062,10706
21940,21941,100.27855,-4.0,1.0,215.32225,-4.11662,101.53321,-27.02888,21940
18540,18541,290.61453,6.0,1.0,41.82671,-4.11578,293.30866,27.78663,18540
27562,27563,108.63905,-20.0,1.0,233.3239,-4.11378,113.80933,-41.9105,27562
5621,5622,324.73469,47.0,1.0,92.32632,-4.11012,352.79615,55.86091,5621
17631,17632,94.04494,8.0,1.0,201.77175,-4.10536,94.16053,-15.38113,17631
3040,3041,26.52632,58.0,1.0,130.14323,-4.10429,49.4709,43.15446,3040
3606,3607,347.46269,56.0,1.0,109.01909,-4.10311,21.80861,53.99436,3606
15711,15712,295.01433,14.0,1.0,50.94638,-4.10085,299.99816,34.87122,15711
21221,21222,99.27577,-2.0,1.0,213.07986,-4.10072,100.2539,-25.10992,21221
25144,25145,104.91429,-13.0,1.0,225.44653,-4.09905,107.95142,-35.51439,25144
25315,25316,280.8,-13.0,1.0,20.41525,-4.095,280.67963,10.03959,25315
14473,14474,88.95349,17.0,1.0,191.46681,-4.0845,88.99859,-6.43575,14473
23016,23017,101.84874,-7.0,1.0,218.71337,-4.08019,103.60103,-29.88167,23016
29227,29228,111.53374,-25.0,1.0,239.00794,-4.07475,118.7972,-46.30888,29227
6196,6197,65.5814,44.0,1.0,157.94973,-4.0719,71.27983,22.13635,6196
19782,19783,97.27019,2.0,1.0,208.59429,-4.05509,97.8048,-21.24278,19782
8008,8009,312.93286,38.0,1.0,79.80293,-4.05454,332.07349,52.59783,8008
30649,30650,271.71975,-29.0,1.0,2.28134,-4.05284,271.50545,-5.56966,30649
15513,15514,90.77364,14.0,1.0,194.95029,-4.04244,90.76674,-9.4374,15513
12117,12118,84.5122,24.0,1.0,183.30548,-4.04049,84.99316,0.65617,12117
27900,27901,109.28571,-21.0,1.0,234.49352,-4.03783,114.85307,-42.78905,27900
24965,24966,281.25,-12.0,1.0,21.50856,-4.03429,281.20381,11.00261,24965
28056,28057,276.42857,-21.0,1.0,11.36831,-4.03396,275.99905,2.30537,28056
14130,14131,88.42105,18.0,1.0,190.3442,-4.02211,88.49727,-5.43113,14130
19063,19064,96.26741,4.0,1.0,206.35231,-4.02051,96.63192,-19.29537,19063
10393,10394,305.59486,30.0,1.0,69.73564,-4.00738,318.41369,47.63703,10393
7262,7263,70.69091,40.0,1.0,163.47613,-4.00721,74.59542,17.58886,7262
6456,6457,67.07224,43.0,1.0,159.42418,-3.99382,72.24061,20.96544,6456
7175,7176,316.16236,41.0,1.0,83.71144,-3.9936,338.11397,54.08527,7175
15165,15166,90.25937,15.0,1.0,193.83188,-3.98607,90.25903,-8.4392,15165
5139,5140,327.9661,49.0,1.0,95.27592,-3.98533,358.03436,56.19125,5139
27720,27721,276.92308,-20.0,1.0,12.47189,-3.98298,276.50864,3.28286,27720
3215,3216,358.10526,58.0,1.0,115.15699,-3.97809,31.24318,51.72847,3215
21766,21767,285.79387,-3.0,1.0,31.59546,-3.97738,286.75536,19.5252,21766
24439,24440,104.02266,-11.0,1.0,223.26295,-3.97212,106.60648,-33.6344,24439
17471,17472,292.05634,9.0,1.0,45.15469,-3.96582,295.49226,30.50836,17471
21049,21050,286.79666,-1.0,1.0,33.83779,-3.95986,288.07169,21.39163,21049
13789,13790,87.88235,19.0,1.0,189.2204,-3.95758,87.99746,-4.42462,13789
11790,11791,83.92638,25.0,1.0,182.17261,-3.95693,84.50048,1.67676,11790
3846,3847,46.06635,54.0,1.0,141.75658,-3.94488,60.13847,35.02364,3846
8685,8686,75.91837,35.0,1.0,169.98494,-3.9431,78.24286,12.1344,8685
10826,10827,81.76656,28.0,1.0,178.5956,-3.94093,82.71602,4.76897,10826
8876,8877,309.79592,35.0,1.0,75.87659,-3.94006,326.32224,50.9534,8876
20331,20332,287.79944,1.0,1.0,36.08029,-3.93753,289.42322,23.24706,20331
8104,8105,74.00697,37.0,1.0,167.45103,-3.93196,76.88128,14.28711,8104
27382,27383,277.41176,-19.0,1.0,13.57432,-3.93151,277.01957,4.2587,27382
16214,16215,92.04545,12.0,1.0,197.30603,-3.92943,92.04705,-11.42496,16214
9280,9281,77.74086,33.0,1.0,172.49726,-3.92774,79.58758,10.00336,9280
28720,28721,275.16616,-23.0,1.0,9.04787,-3.92756,274.7488,0.35405,28720
17988,17989,94.78992,7.0,1.0,203.00464,-3.92385,94.96117,-16.35708,17988
4018,4019,339.52607,54.0,1.0,104.04225,-3.90848,13.59662,55.49605,4018
19614,19615,288.80223,3.0,1.0,38.32237,-3.90797,290.81148,25.09109,19614
30195,30196,113.56467,-28.0,1.0,242.51977,-3.905,122.42823,-48.81968,30195
4232,4233,336.66667,53.0,1.0,102.06485,-3.90425,10.15514,55.85273,4232
4962,4963,57.9661,49.0,1.0,150.69675,-3.89708,66.76864,28.11395,4962
23552,23553,283.14607,-8.0,1.0,25.93103,-3.8916,283.46649,14.82666,23552
9889,9890,79.48052,31.0,1.0,174.98795,-3.8914,80.9153,7.89233,9889
13450,13451,87.33728,20.0,1.0,188.09548,-3.89063,87.49916,-3.41619,13450
10083,10084,306.23377,31.0,1.0,70.8736,-3.88812,319.70621,48.38235,10083
22658,22659,101.56425,-6.0,1.0,217.69115,-3.8802,103.17159,-28.91218,22658
27042,27043,277.89474,-18.0,1.0,14.67553,-3.87928,277.53184,5.23294,27042
3041,3042,28.42105,58.0,1.0,131.12387,-3.87829,50.6722,42.67061,3041
28389,28390,275.67568,-22.0,1.0,10.15455,-3.87748,275.25683,1.33565,28389
